"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",24,24,24,25,29,26,23,27,2,4,29,25,25,25,3,23,26,24,27,15,26,27,29,27,27,26,3,26,24,3,4,25,25,23,27,26,28,27,24,23,24,27,29,25,22,31,2,28,25,2,29,26,22,28,27,26,25,2,25,26,2,30,27,16,26,2,18,24,25,21,28,3,22,26,27,27,32,21,2,2,31,27,27,28,27,3,30,27,25,2,23,28,2,27,27,30,26,26,31,24
"2",18,16,25,21,3,16,19,17,7,18,26,17,20,18,22,20,21,15,25,16,15,16,20,19,23,19,16,4,16,19,14,20,15,15,22,18,24,8,20,14,16,21,4,20,17,4,21,20,20,19,24,19,25,22,23,23,20,4,16,20,18,24,21,21,20,17,19,18,20,22,24,18,20,19,23,21,23,23,21,8,24,23,19,11,21,19,22,21,20,22,4,22,22,3,19,25,21,3,23,15
"3",4,5,5,6,10,1,5,2,5,7,7,2,7,3,7,9,6,9,4,4,7,6,6,7,7,3,9,5,2,11,3,4,8,1,7,10,6,6,7,7,5,7,11,8,2,6,1,8,2,8,9,5,5,9,7,7,3,3,5,10,8,6,9,10,6,7,2,3,8,11,11,7,4,2,7,5,7,9,8,1,9,5,4,2,2,9,2,5,6,7,8,6,7,9,4,4,5,4,8,2
"4",19,20,19,20,18,21,20,20,21,21,25,18,21,19,19,21,22,16,24,21,18,21,24,23,24,20,22,22,19,23,15,21,16,21,23,21,25,22,21,20,22,22,24,21,18,5,22,22,21,20,25,20,26,23,18,24,21,5,20,21,19,25,22,22,21,18,22,19,21,23,25,21,21,20,24,22,26,24,22,16,25,24,22,23,22,23,26,22,23,23,18,23,23,22,23,26,23,21,24,17
"5",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"6",5,10,3,12,13,7,8,12,16,15,4,10,8,6,9,5,12,6,3,10,5,9,5,15,5,9,14,13,10,6,11,7,4,4,5,7,11,12,11,6,10,5,12,4,9,15,9,14,10,12,14,13,11,5,5,16,15,7,12,5,13,11,6,7,4,10,5,10,14,6,15,5,11,13,3,9,15,12,12,3,14,8,10,13,9,13,5,13,3,5,10,4,9,6,12,12,13,12,16,9
"7",24,24,24,25,29,26,23,27,2,4,29,25,25,25,3,23,26,24,27,15,26,27,29,27,27,26,3,26,24,3,4,25,25,23,27,26,28,27,24,23,24,27,29,25,22,31,2,28,25,2,29,26,22,28,27,26,25,2,25,26,2,30,27,16,26,2,18,24,25,21,28,3,22,26,27,27,32,21,2,2,31,27,27,28,27,3,30,27,25,2,23,28,2,27,27,30,26,26,31,24
"8",25,27,27,22,30,27,24,26,23,23,30,22,26,22,24,24,27,23,30,25,25,25,28,28,21,27,26,23,21,27,23,26,23,27,4,27,29,26,25,24,25,26,3,26,16,3,24,25,24,27,31,27,28,27,4,28,23,23,26,19,23,28,26,25,23,25,26,17,27,25,29,25,22,22,28,2,29,27,23,20,28,28,26,29,25,27,31,26,26,24,3,24,26,25,26,28,27,23,22,25
"9",7,6,10,7,11,9,3,9,13,10,10,8,5,13,5,10,7,11,10,8,9,12,8,13,10,11,6,10,6,9,8,2,10,8,10,11,13,10,13,8,8,6,7,11,8,12,7,6,7,9,12,10,8,8,9,11,12,10,3,7,6,8,11,12,10,8,6,6,10,9,8,11,6,9,5,3,11,14,10,5,7,12,6,8,3,10,6,10,4,10,9,9,4,10,11,14,3,11,9,11
"10",28,24,23,26,31,25,25,25,28,27,20,16,23,26,26,3,29,3,20,27,24,28,19,29,28,28,28,27,25,28,25,22,26,28,26,25,30,23,26,26,30,25,28,27,24,30,26,27,26,29,28,29,21,26,28,25,24,27,24,25,27,27,25,28,27,28,28,26,28,28,30,27,25,25,29,26,28,20,26,21,27,26,25,30,26,28,29,25,29,27,25,27,28,26,17,31,25,28,30,23
"11",10,22,18,29,26,28,27,24,26,28,31,26,28,27,28,26,25,26,19,26,28,3,31,24,3,30,27,28,26,29,2,15,2,22,3,28,31,2,26,25,23,28,31,28,23,28,28,30,27,28,22,24,30,25,2,2,27,25,23,27,28,22,3,26,28,27,27,23,29,29,32,26,8,27,16,28,33,20,27,22,32,2,28,25,16,29,3,29,19,28,24,18,27,26,16,33,19,22,28,3
"12",19,20,19,20,18,21,20,20,21,21,25,18,21,19,19,21,22,16,24,21,18,21,24,23,24,20,22,22,19,23,15,21,16,21,23,21,25,22,21,20,22,22,24,21,18,5,22,22,21,20,25,20,26,23,18,24,21,5,20,21,19,25,22,22,21,18,22,19,21,23,25,21,21,20,24,22,26,24,22,16,25,24,22,23,22,23,26,22,23,23,18,23,23,22,23,26,23,21,24,17
"13",19,20,19,20,18,21,20,20,21,21,25,18,21,19,19,21,22,16,24,21,18,21,24,23,24,20,22,22,19,23,15,21,16,21,23,21,25,22,21,20,22,22,24,21,18,5,22,22,21,20,25,20,26,23,18,24,21,5,20,21,19,25,22,22,21,18,22,19,21,23,25,21,21,20,24,22,26,24,22,16,25,24,22,23,22,23,26,22,23,23,18,23,23,22,23,26,23,21,24,17
"14",15,14,15,11,15,12,7,14,10,17,16,14,11,15,11,15,16,13,14,11,13,14,17,16,15,16,13,16,12,15,5,10,13,13,16,15,17,15,10,13,13,4,17,12,7,18,14,17,12,14,3,16,13,14,16,4,7,14,13,14,15,13,17,14,14,13,15,13,18,5,18,14,13,14,13,14,17,16,14,13,18,14,15,15,12,15,16,12,14,16,6,15,12,14,13,19,16,15,17,13
"15",9,10,11,12,6,8,8,13,11,16,12,10,8,10,10,6,4,7,3,10,6,10,7,10,11,9,12,14,9,6,10,8,5,4,5,7,16,12,12,8,10,11,13,9,9,16,10,12,8,4,4,13,11,13,5,12,8,8,9,11,11,11,12,11,4,3,11,7,13,7,6,9,9,13,10,10,14,13,12,3,17,9,3,3,6,6,12,14,8,12,11,12,10,11,12,15,11,13,3,9
"16",21,18,20,18,22,20,18,18,8,20,23,20,18,21,13,17,20,17,22,19,20,17,21,20,19,21,20,21,17,21,17,17,17,20,20,20,22,21,19,18,20,18,21,18,14,23,17,21,18,21,20,23,20,17,19,21,18,21,18,18,21,20,20,18,18,20,21,5,11,19,21,20,18,17,20,19,25,19,18,15,23,21,21,20,18,21,24,19,21,19,5,20,19,20,21,23,24,19,20,19
"17",6,7,6,8,8,3,4,6,3,8,11,6,6,13,6,11,8,10,7,3,8,4,11,4,8,12,7,9,8,9,7,2,10,6,8,9,14,4,14,10,9,9,8,5,5,9,5,9,6,6,12,6,6,10,10,10,12,12,4,8,6,7,7,8,9,5,7,2,9,9,12,8,7,5,9,4,10,6,5,5,10,11,7,4,3,11,7,2,4,8,9,10,5,7,3,2,7,10,10,6
"18",1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,1,3,1,1,1,1,6,1,1,1,3,1,1,1,1,1,7,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1
"19",19,20,19,20,18,21,20,20,21,21,25,18,21,19,19,21,22,16,24,21,18,21,24,23,24,20,22,22,19,23,15,21,16,21,23,21,25,22,21,20,22,22,24,21,18,5,22,22,21,20,25,20,26,23,18,24,21,5,20,21,19,25,22,22,21,18,22,19,21,23,25,21,21,20,24,22,26,24,22,16,25,24,22,23,22,23,26,22,23,23,18,23,23,22,23,26,23,21,24,17
"20",13,15,13,16,4,15,15,4,17,13,19,11,4,14,14,13,15,14,18,14,16,7,15,8,13,18,18,18,11,17,18,12,11,17,13,13,8,9,4,4,18,12,5,2,4,20,11,11,15,17,15,11,15,18,17,3,16,16,14,15,17,15,15,15,15,11,17,11,15,18,16,16,15,15,14,6,19,5,16,11,4,18,12,14,14,18,18,15,18,15,14,14,17,16,7,20,18,5,12,4
"21",16,15,17,16,4,5,16,4,17,13,19,11,12,14,15,14,17,4,17,9,4,7,15,8,17,17,4,11,11,13,18,14,12,2,14,16,9,18,8,4,11,12,6,15,4,13,11,18,4,13,15,17,16,19,12,17,16,17,15,16,10,16,16,5,15,11,13,15,15,14,16,17,16,8,14,6,20,17,16,12,4,19,13,14,10,14,20,15,12,15,14,14,13,18,14,10,9,5,13,4
"22",27,25,29,24,25,24,2,3,25,24,21,23,27,24,23,25,2,22,29,22,2,26,27,25,26,24,24,24,22,26,22,24,24,24,24,4,23,24,17,2,27,24,27,22,21,27,19,26,23,26,30,28,23,15,24,29,5,23,2,24,24,29,24,23,24,26,25,21,26,27,26,24,23,23,25,24,30,26,24,18,30,6,18,26,20,25,13,20,28,25,22,25,24,2,25,29,29,24,27,27
"23",19,20,19,20,18,21,20,20,21,21,25,18,21,19,19,21,22,16,24,21,18,21,24,23,24,20,22,22,19,23,15,21,16,21,23,21,25,22,21,20,22,22,24,21,18,5,22,22,21,20,25,20,26,23,18,24,21,5,20,21,19,25,22,22,21,18,22,19,21,23,25,21,21,20,24,22,26,24,22,16,25,24,22,23,22,23,26,22,23,23,18,23,23,22,23,26,23,21,24,17
"24",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"25",9,11,8,12,12,8,10,10,14,5,5,4,8,12,10,6,10,7,11,2,11,10,14,12,9,13,11,14,9,8,10,8,9,10,9,8,15,11,15,8,10,10,13,10,8,7,8,4,8,10,5,9,3,6,5,14,9,9,10,11,3,3,12,13,5,8,9,7,4,7,13,9,2,10,4,11,4,15,11,4,16,9,9,9,8,10,12,8,9,12,11,12,8,12,9,13,3,7,3,9
"26",15,13,14,15,14,13,13,15,9,13,15,13,14,17,4,14,18,13,16,12,13,13,17,17,14,15,15,15,11,14,12,9,12,12,15,14,9,17,9,12,12,14,18,13,11,17,13,15,13,15,16,15,9,3,14,18,16,13,13,12,16,12,18,5,13,14,16,14,17,3,18,13,12,12,11,16,16,10,4,12,19,15,14,16,12,16,14,11,16,17,16,16,11,13,8,18,14,14,14,12
"27",24,24,24,25,29,26,23,27,2,4,29,25,25,25,3,23,26,24,27,15,26,27,29,27,27,26,3,26,24,3,4,25,25,23,27,26,28,27,24,23,24,27,29,25,22,31,2,28,25,2,29,26,22,28,27,26,25,2,25,26,2,30,27,16,26,2,18,24,25,21,28,3,22,26,27,27,32,21,2,2,31,27,27,28,27,3,30,27,25,2,23,28,2,27,27,30,26,26,31,24
"28",25,27,27,22,30,27,24,26,23,23,30,22,26,22,24,24,27,23,30,25,25,25,28,28,21,27,26,23,21,27,23,26,23,27,4,27,29,26,25,24,25,26,3,26,16,3,24,25,24,27,31,27,28,27,4,28,23,23,26,19,23,28,26,25,23,25,26,17,27,25,29,25,22,22,28,2,29,27,23,20,28,28,26,29,25,27,31,26,26,24,3,24,26,25,26,28,27,23,22,25
"29",7,6,10,7,11,9,3,9,13,10,10,8,5,13,5,10,7,11,10,8,9,12,8,13,10,11,6,10,6,9,8,2,10,8,10,11,13,10,13,8,8,6,7,11,8,12,7,6,7,9,12,10,8,8,9,11,12,10,3,7,6,8,11,12,10,8,6,6,10,9,8,11,6,9,5,3,11,14,10,5,7,12,6,8,3,10,6,10,4,10,9,9,4,10,11,14,3,11,9,11
"30",16,15,17,16,4,5,16,4,17,13,19,11,12,14,15,14,17,4,17,9,4,7,15,8,17,17,4,11,11,13,18,14,12,2,14,16,9,18,8,4,11,12,6,15,4,13,11,18,4,13,15,17,16,19,12,17,16,17,15,16,10,16,16,5,15,11,13,15,15,14,16,17,16,8,14,6,20,17,16,12,4,19,13,14,10,14,20,15,12,15,14,14,13,18,14,10,9,5,13,4
"31",6,7,6,8,8,3,4,6,3,8,11,6,6,13,6,11,8,10,7,3,8,4,11,4,8,12,7,9,8,9,7,2,10,6,8,9,14,4,14,10,9,9,8,5,5,9,5,9,6,6,12,6,6,10,10,10,12,12,4,8,6,7,7,8,9,5,7,2,9,9,12,8,7,5,9,4,10,6,5,5,10,11,7,4,3,11,7,2,4,8,9,10,5,7,3,2,7,10,10,6
"32",18,16,25,21,3,16,19,17,7,18,26,17,20,18,22,20,21,15,25,16,15,16,20,19,23,19,16,4,16,19,14,20,15,15,22,18,24,8,20,14,16,21,4,20,17,4,21,20,20,19,24,19,25,22,23,23,20,4,16,20,18,24,21,21,20,17,19,18,20,22,24,18,20,19,23,21,23,23,21,8,24,23,19,11,21,19,22,21,20,22,4,22,22,3,19,25,21,3,23,15
"33",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"34",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"35",16,15,17,16,4,5,16,4,17,13,19,11,12,14,15,14,17,4,17,9,4,7,15,8,17,17,4,11,11,13,18,14,12,2,14,16,9,18,8,4,11,12,6,15,4,13,11,18,4,13,15,17,16,19,12,17,16,17,15,16,10,16,16,5,15,11,13,15,15,14,16,17,16,8,14,6,20,17,16,12,4,19,13,14,10,14,20,15,12,15,14,14,13,18,14,10,9,5,13,4
"36",26,26,28,23,2,22,6,23,24,25,28,24,24,23,20,22,24,20,28,23,22,23,26,26,22,25,25,25,23,25,21,23,21,26,25,23,27,25,23,21,26,20,25,23,19,26,20,24,22,25,26,25,27,24,25,27,22,24,22,23,25,23,23,24,25,24,23,22,23,26,27,23,24,3,26,23,31,22,19,19,29,25,24,27,24,26,28,24,27,26,21,26,25,24,18,27,28,25,26,26
"37",22,19,21,19,20,17,12,19,19,11,24,3,17,4,18,18,13,18,23,20,21,19,22,21,20,4,17,19,3,20,20,18,18,18,19,5,21,19,2,19,21,19,23,17,15,24,18,3,17,22,21,21,17,20,20,19,6,18,19,3,9,21,14,19,2,23,3,11,11,20,22,12,14,4,21,18,24,3,17,9,21,13,2,22,19,22,25,6,11,20,17,2,20,21,22,8,22,20,21,20
"38",27,25,29,24,25,24,2,3,25,24,21,23,27,24,23,25,2,22,29,22,2,26,27,25,26,24,24,24,22,26,22,24,24,24,24,4,23,24,17,2,27,24,27,22,21,27,19,26,23,26,30,28,23,15,24,29,5,23,2,24,24,29,24,23,24,26,25,21,26,27,26,24,23,23,25,24,30,26,24,18,30,6,18,26,20,25,13,20,28,25,22,25,24,2,25,29,29,24,27,27
"39",15,13,14,15,14,13,13,15,9,13,15,13,14,17,4,14,18,13,16,12,13,13,17,17,14,15,15,15,11,14,12,9,12,12,15,14,9,17,9,12,12,14,18,13,11,17,13,15,13,15,16,15,9,3,14,18,16,13,13,12,16,12,18,5,13,14,16,14,17,3,18,13,12,12,11,16,16,10,4,12,19,15,14,16,12,16,14,11,16,17,16,16,11,13,8,18,14,14,14,12
"40",20,17,22,17,23,19,17,21,20,19,22,19,16,20,12,16,19,19,21,18,19,22,23,22,18,22,21,20,18,22,16,16,19,19,18,19,20,20,18,17,19,17,20,16,12,22,16,21,14,23,19,22,19,16,21,20,17,20,17,17,20,19,19,17,17,19,20,16,22,12,20,19,17,21,19,17,27,18,15,14,22,20,20,19,17,20,23,18,22,18,19,19,18,19,20,22,24,18,19,18
"41",27,25,29,24,25,24,2,3,25,24,21,23,27,24,23,25,2,22,29,22,2,26,27,25,26,24,24,24,22,26,22,24,24,24,24,4,23,24,17,2,27,24,27,22,21,27,19,26,23,26,30,28,23,15,24,29,5,23,2,24,24,29,24,23,24,26,25,21,26,27,26,24,23,23,25,24,30,26,24,18,30,6,18,26,20,25,13,20,28,25,22,25,24,2,25,29,29,24,27,27
"42",10,23,18,28,27,2,22,24,26,29,31,27,19,27,25,27,25,26,19,28,28,3,30,30,28,29,30,29,27,29,2,15,2,22,3,28,32,2,26,25,28,28,30,24,25,28,27,2,27,28,22,31,2,25,2,2,2,26,23,28,29,22,3,29,28,29,27,25,30,2,31,26,8,27,16,29,33,20,28,23,32,2,28,25,16,29,3,29,19,29,24,18,27,26,16,32,30,22,29,3
"43",9,10,11,12,6,8,8,13,11,16,12,10,8,10,10,6,4,7,3,10,6,10,7,10,11,9,12,14,9,6,10,8,5,4,5,7,16,12,12,8,10,11,13,9,9,16,10,12,8,4,4,13,11,13,5,12,8,8,9,11,11,11,12,11,4,3,11,7,13,7,6,9,9,13,10,10,14,13,12,3,17,9,3,3,6,6,12,14,8,12,11,12,10,11,12,15,11,13,3,9
"44",25,27,27,22,30,27,24,26,23,23,30,22,26,22,24,24,27,23,30,25,25,25,28,28,21,27,26,23,21,27,23,26,23,27,4,27,29,26,25,24,25,26,3,26,16,3,24,25,24,27,31,27,28,27,4,28,23,23,26,19,23,28,26,25,23,25,26,17,27,25,29,25,22,22,28,2,29,27,23,20,28,28,26,29,25,27,31,26,26,24,3,24,26,25,26,28,27,23,22,25
